/ http://dndtools.eu/feats/

.Feat; Description
Improved Familiar; See the discussion of the Improved Familiar feat in Chapter 1 of the FORGOTTEN REALMS Campaign Setting. Table A-5 shows additional improved familiars from this book that are available with this feat.
Improved Familiar; So long as you are able to acquire a new familiar, you may choose your new familiar from a nonstandard list.
Improved Familiar; This feat allows spellcasters to acquire a new familiar from a nonstandard list, but only when they could normally acquire a new familiar (see Familiars, page 52 of the Player's Handbook). This feat was originally presented on page 200 of the Dungeon Master's Guide; the description here provides new alternatives for arcane spellcasters who want familiars to stand beside them in battle.
Improved Familiar; You can acquire a new familiar from a nonstandard list of creatures.
Improved Favored Enemy; 
Improved Favored Enemy; You know how to hit your favored enemies where it hurts.
Improved Feint; You are skilled at misdirecting your opponent's attention in combat.
Improved Flight Item; You have learned to make use of the manifest zone in Sharn to craft magic items that grant superior flight.
Improved Flight; Improved Flight [General] You gain greater maneuverability when flying than you would normally have.
Improved Flight; You gain greater maneuverability when flying than you would normally have.
Improved Flight; You have gained greater maneuverability when flying than you would normally have.
Improved Flyby Attack; The creature can attack on the wing with increased mobility.
Improved Flyby Attack; You can attack on the wing with increased mobility.
Improved Fortification; You improve your warforged fortifi cation, gaining immunity to sneak attacks and extra damage from critical hits.
Improved Fortification; You improve your warforged fortification, gaining immunity to sneak attacks and extra damage from critical hits.
Improved Frosty Touch; Your frosty touch causes more cold damage.
Improved Ghost Flight; Your ghost body can fly rapidly.
Improved Grapple; The deity is skilled in martial arts that emphasize holds and throws.
Improved Grapple; You are skilled at grappling opponents.
Improved Grapple; You are skilled in martial arts that emphasize holds and throws.
Improved Heat Endurance; You can survive even in the most extreme natural heat conditions.
Improved Heighten Spell; You can cast a spell at any level above its own.
Improved Homunculus; You are adept at improving and modifying your homunculus. Whenever you advance your homunculus's Hit Dice, you can also imbue it with special supernatural abilities.
Improved Initiative; You can react more quickly than normal in a fight.
Improved Ki Strike; You can strike opponents with great damage reduction.
Improved Levitation; You have learned to use only part of your levitate spell-like ability at a time, allowing multiple uses with shorter durations.
Improved Levitation; You have learned to use part of your levitate spell-like ability at a time, allowing multiple uses with a shorter duration.
Improved Low Blow; You are especially good at using the Low Blow feat.
Improved Low-Light Vision; The range of your low-light vision is greater than normal.
Improved Maneuverability; Your maneuverability in flight improves.
Improved Manifestation; You can manifest psionic powers more powerful than the normal limits of manifestation.
Improved Manifestation; You increase your power point reserve.
Improved Manyshot; You can fire even more arrows as a single attack against a nearby target.
Improved Metamagic; You can cast spells using metamagic feats more easily than normal.
Improved Metapsionics; You can manifest powers using metapsionic feats more easily than normal.
Improved Mounted Archery; You can make ranged attacks from a mount almost as well as you can from the ground.
Improved Multiattack; The creature is particularly adept at using all its natural weapons at once.
Improved Multiattack; You are particularly adept at using all your natural weapons at once.
Improved Multiweapon Fighting; A creature with three or more hands can fight with a weapon in each hand. The creature can make up to two attacks per round with each extra weapon.
Improved Multiweapon Fighting; A deity with three or more hands can fight with a weapon in each hand. The deity can make up to two attacks per round with each extra weapon.
Improved Multiweapon Fighting; You are expert at fighting with a weapon in each of your three or more hands. You can make up to two attacks per round with each off-hand weapon.
Improved Natural Armor; The creature's natural armor is thicker and harder than that of others of its kind.
Improved Natural Armor; The natural armor of a creature with this feat is thicker and harder than normal for its kind.
Improved Natural Armor; Your skin is even tougher than that of most of your kind.
Improved Natural Attack; One of a creature's natural attacks is more dangerous than its type and size would otherwise indicate.
Improved Natural Attack; The natural attacks of a creature with this feat are more dangerous than its size and type would otherwise dictate.
Improved Oneiromancy; With the Improved Oneiromancy feat, you gain additional dream-related spellcasting abilities.
Improved Outer plane Heritage [Anarchic]; Your ancestral tie to the Outer Planes manifests as an ability to deal damage with your natural attacks as if they matched the alignment of your ancestors.
Improved Outer plane Heritage [Axiomatic]; Your ancestral tie to the Outer Planes manifests as an ability to deal damage with your natural attacks as if they matched the alignment of your ancestors.
Improved Outer plane Heritage [Celestial]; Your ancestral tie to the Outer Planes manifests as an ability to deal damage with your natural attacks as if they matched the alignment of your ancestors.
Improved Outer plane Heritage [Fiendish]; Your ancestral tie to the Outer Planes manifests as an ability to deal damage with your natural attacks as if they matched the alignment of your ancestors.
Improved Overrun; You are skilled at knocking down opponents.
Improved Overrun; You are trained in knocking over opponents that are smaller than you.
Improved Poltergeist Hand; You can move a large object at a distance when you are a ghost.
Improved Precise Shot; Your ranged attacks can ignore the effects of cover or concealment.
Improved Psicrystal; You can upgrade your psicrystal.
Improved Rapid Shot; You are an expert at firing weapons with exceptional speed.
Improved Rapidstrike; You can make multiple attacks with a natural weapon.
Improved Resiliency; You gain a construct's resistance to nonlethal damage.
Improved Resist Dragonfear; You are able to demonstrate great courage in the presence of dragons.
Improved Rock Hurling; Your accuracy and effectiveness with thrown rocks improves.
Improved Scent; You can detect and track creatures by smell at greater distances than normal.
Improved Shield Bash; You can bash with a shield while retaining its shield bonus to your Armor Class.
Improved Shield Bash; You can push opponents back by bashing them with your shield.
Improved Shieldmate; You have an outstanding ability to protect those near you with your shield.
Improved Sigil (Aesh); You tap into your aesh power sigil to gain enhanced accuracy with your favored melee weapons.
Improved Sigil (Hoon); You tap into your hoon power sigil to help survive deadly conditions.
Improved Sigil (Krau); You tap into your krau power sigil to augment the energy of your magical utterances.
Improved Sigil (Naen); You tap into your naen power sigil to see through illusions and resist language-based effects.
Improved Sigil (Uur); You tap into your uur power sigil to gain enhanced accuracy with ranged weapons.
Improved Sigil (Vaul); You tap into your vaul power sigil to resist mental effects.
Improved Skirmish ; With a few extra steps, you gain even greater benefits from your skirmishing combat style.
Improved Smiting; Your smite attacks deal more damage to specific foes, and can damage creatures with alignment-based damage reduction.
Improved Snatch Spell; When you take over a spell from another spellcaster, you gain more control over its effect.
Improved Snatch; You can make snatch attacks against bigger opponents than other creatures can.
Improved Sneak Attack; Your sneak attacks are more deadly than normal.
Improved Speed; You are faster than others of your kind.
Improved Spell Capacity; You can prepare spells that exceed the normal limits of spellcasting.
Improved Spell Resistance; Your innate resistance to magical effects increases.
Improved Spellpool Access; You can use your spellpool access to call spells of greater than normal power.
Improved Spit; You can spit farther than normal.
Improved Stunning Fist; 
Improved Stunning Fist;  
Improved Stunning Fist; Add +2 to the DC of your stunning fist attack.
Improved Sudden Strike; Your ability to strike unaware foes improves.
Improved Sunder; The deity is adept at placing its attacks precisely where it wants them to land.
Improved Sunder; You are adept at placing your attacks precisely where you want them to land.
Improved Sunder; You are skilled at attacking your opponents' weapons and shields, as well as other objects.
Improved Swimming; You can swim faster than you normally could.
Improved Swimming; You swim faster than you normally could.
Improved Toughness; A creature with this feat is signifi cantly tougher than normal.
Improved Toughness; You are signifi cantly tougher than normal.
Improved Toughness; You are significantly tougher than normal.
Improved Trip; You are trained not only in tripping opponents safely but also in following through with an attack.
Improved Turn Resistance; You are better able to resist the channeling of positive or negative energy by clerics and similar classes.
Improved Turn Resistance; You have a better than normal chance to resist turning.
Improved Turning; Your turning or rebuking attempts are more powerful than normal.
Improved Two-Weapon Defense; You gain a signifi cant defensive advantage while fighting with two weapons.
Improved Two-Weapon Fighting; You are an expert in fighting two-handed.
Improved Unarmed Strike; You are skilled at fighting while unarmed.
Improved Weapon Familiarity; You are familiar with all exotic weapons common to your people.
Improved Web; You gain additional utility from your webs.
Improved Whirlwind Attack; You become a blurry whirlwind of attacks, striking out at all enemies near your position.
Improved fiendish Servant; You gain the service of a powerful fi endish animal servitor.
Improved paralysis; You are better at paralyzing your victims.
Inatenttive; You are skilled at finishing simple tasks quickly, but you have a diffi cult time dealing with longer, more complex tasks.
Inattentive; You are particularly unaware of your surroundings.
Incarnum Resistance; Your body, untainted by incarnum, is not easily affected by the power of soul energy.
Incarnum Spellshaping; You gain the ability to invest incarnum into your spellcasting.
Incarnum-Fortified Body; The incarnum within you strengthens your body's toughness, enabling you to withstand greater injury.
Incite Rage; 
Incorporeal Form; You can become incorporeal even when you would otherwise be forced to manifest fully.
Incorporeal Spell Targeting; You know how to cast your spells so they're more likely to affect incorporeal creatures.
Incorporeal Target Fighting; You know how to fight incorporeal creatures in melee.
Indigo Strike; You can channel incarnum to enhance your ability to deal damage with your skirmish attack, sneak attack, or sudden strike. When you do so, your eyes turn dark blue.
Indomitable Discipline; Many aberrations in Khyber possess powers allowing them to control the minds of lesser creatures. Your strict mental discipline allows you to resist attempts to manipulate your thoughts.
Indomitable Soul; Your physical toughness translates into greater mental resiliency. Where others cave in to magical effects that alter their minds, you stand resolute.
Ineluctable Echo; Those who use words of power around you hear the sound of their own voices.
Inertial Armor; Your mind instinctively generates a field of protective energy.
Infernal Bargainer; You are comfortable making deals with powerful entities from the Lower Planes.
Infernal Sorcerer Eyes; Your eyes glow with infernal fire, allowing you to see through magical darkness.
Infernal Sorcerer Heritage; Your innate magic derives from infernal ancestors. Your blood is thick with their power, allowing you to exhibit a variety of abilities.
Infernal Sorcerer Howl; You channel the fury of your infernal ancestors into a thunderous roar that blasts your enemies with sonic power.
Infernal Sorcerer Resistance; You are as tough and resilient as an infernal monstrosity, allowing you to shrug off acid and cold damage.
Infinite Deflection; You can deflect an infinite number of projectiles.
Inhuman Reach; Your arms elongate, allowing you to touch the fl oor with your hands. In addition, you can bend them in strange and unnatural ways. The arms may vary in appearance, perhaps seeming scaly and snakelike, or slimy like tentacles; conversely, they may resemble normal but longer arms with a second elbow joint. Unless you wear a large cloak to conceal these deformities, you are disturbing to behold.
Inhuman Vision; You possess the inhuman eyes of some strange creature. They might look segmented or larger or without pupils. You might even have eyestalks.
Initiate of Aasterinian ; You live for the moment, reveling in new experiences without tear of consequence.
Initiate of Amaunator; You have been initiated into the greatest secrets of Amaunator's faith.
Initiate of Anhur; You have been initiated into the greatest secrets of Anhur's church.
Initiate of Arvoreen; You have been initiated into the greatest secrets of Arvoreen's church.
Initiate of Astilabor ; You share your deity's desire to acquire and protect treasure, and she has recognized this by granting you an edge in achieving these goals.
Initiate of Bahamut ; The Platinum Dragon has entrusted you with great power in the battle against evil.
Initiate of Bane; You have been initiated into the greatest secrets of Bane's church.
Initiate of Baravar Cloakshadow; You have been initiated into the greatest secrets of Baravar Cloakshadow's church.
Initiate of Cyric; You have been initiated into the greatest secrets of Cyric's church.
Initiate of Eilistraee; You have been initiated into the greatest secrets of Eilistraee's church.
Initiate of Falazure ; Your celebration of death and decay has opened up new magical secrets involving the living and undead.
Initiate of Garyx ; You channel the cleansing fire of destruction, as wielded by your deity.
Initiate of Ghaunadaur; You have learned the dread secrets of the god of oozes, slimes, jellies, and outcasts.
Initiate of Gond; You have been initiated into the greatest secrets of Gond's church.
Initiate of Gruumsh; The singular eye of the great orc god Gruumsh watches over you.
Initiate of Helm; You have been initiated into the greatest secrets of Helm's church.
Initiate of Hlal ; Fueled by faith in your deity, your audacity and bravery truly know no bounds.
Initiate of Horus-Re; You have been initiated into the greatest secrets of Horus-Re's church.
Initiate of Ilmater; You have been initiated into the greatest secrets of Ilmater's church.
Initiate of Io ; Your deity has entrusted you with the responsibility of tending to dragonkind.
Initiate of Kossuth; You have faced the fierce elemental flame and unlocked some of the secrets of Kossuth's church.
Initiate of Lathander; You have been initiated into the greatest secrets of Lathander's church.
Initiate of Lendys ; Your dedication to justice grants you the ability to ferret out and punish wrongdoers.
Initiate of Loviatar; With great pain comes great power. This and other secrets you have learned from the church of Loviatar.
Initiate of Loviatar; You have been initiated into the greatest secrets of Loviatar's church.
Initiate of Malar; You have been initiated into the greatest secrets of Malar's church.
Initiate of Milil; You have been initiated into the greatest secrets of Milil's church.
Initiate of Mystra; You have been initiated into the greatest secrets of Mystra's church.
Initiate of Nature; You have been initiated into the greatest secrets of Eldath's, Mielikki's, or Silvanus's church.
Initiate of Nobanion; You have been initiated into the greatest secrets of Nobanion's church.
Initiate of Selune; You have been initiated into the greatest secrets of Selune's church.
Initiate of Shar; You have been initiated into the greatest secrets of Shar's church.
Initiate of Tamara; You wield the twin powers of mercy and death in service to your draconic patron.
Initiate of Tchazzar; You have been initiated into the greatest mysteries of Tchazzar's church.
Initiate of Tiamat ; Your homage to the creator of evil dragonkind has been rewarded with physical and mental power.
Initiate of Torm; You have been initiated into the greatest secrets of Torm's church.
Initiate of Tymora; You have been initiated into the greatest secrets of Tymora's church.
Initiate of Tyr; You have been initiated into the greatest secrets of Tyr's church.
Initiate of Varae; You fervently worship Varae, the serpentine goddess, and guard well the secrets of your faith.
Initiate of the Holy Realm; You have been initiated into the greatest secrets of one of the faiths of the Holy Realm (Chauntea, Helm, Lathander, Selune, or Sune).
Inlindl School; You have learned House Inlindl's fighting techniques, which focus on using light weapons and shields.
Innate Spell; You have mastered a spell so thoroughly that you can now use it as a spell-like ability.
Innate Spell; You have mastered a spell so thoroughly you can now cast it as a spell-like ability.
Inner Strength; You have more power points than normal.
Inquisitor; You know when others lie.
Insane Defiance; You adopt insanity as a shield to turn effects that target your mind against those around you.
Inscribe Epic Runes; You can inscribe runes of epic power.
Inscribe Rune; You can create magic runes that hold spells until triggered.
Inside Connection; Choose a specific organization, such as a town's militia, a particular church, a guild, or one of the illumian cabals (see Chapter 3). You have strong personal connections within that organization, as well as insight into its membership.
Insidious Magic; You can use the Shadow Weave to make your spells harder for Weave users to detect.
Insidious Magic; You can use the Shadow Weave to make your spells harder for Weave users to detect. All creatures employing spells or spell-like abilities are considered to be Weave users unless they possess the Shadow Weave Magic feat.
Insidious Terror; Your intuitive sense of your victim's fears enhances the effectiveness of your psionic powers.
Insightful Divination; Casting a divination spell grants you an uncanny insight into danger.
Insightful Reflexes; Your keen intellect allows you an uncanny knack for evading dangerous effects.
Insightful; You possess a magical understanding of the workings of arcane detection.
Inspirational Leadership; Your cohort and followers are exceptionally faithful to your cause.
Inspire Excellence; You can improve the abilities of your comrades through your performance.
Inspire Spellpower; You can use your bardic music to increase the power of your allies' spells.
Instant Clarity ; You have sharpened your concentration to the point that you can focus your psionic abilities with just an instant's thought.
Instant Reload; Choose one type of crossbow, such as heavy crossbow, You can fire that type of crossbow as fast as a bow.
Instantaneous Rage; You activate your rage instantly.
Instinctive Consummator; You always make good on your threats.
Instinctive Darkness; After extensive training, you can negate light instinctively
Intensify Darkness; By extending your effort, you can expand the area of your darkness spell-like ability.
Intensify Spell; You can cast spells with exceptionally great effect.
Intimidating Rage; Your rage engenders fear in your opponents.
Intimidating Rage; Your rage engenders fear in your opponents. Prerequisites Rage or Frenzy Ability.
Intimidating Strike; You make a display of your combat prowess designed to strike terror in your foe. Your stance, attack method, and demeanor demonstrate to your foe that you are capable of defeating him with little effort. Your intent is clear--if you decide to hit your foe, you could easily slay him.
Intuitive Attack; You fight by faith more than brute strength.
Inured to Energy; You can resist energy attacks more efficiently than normal.
Invest Armor; You can charge your armor with additional protective qualities.
Investigate; You can use the Search skill to fi nd and analyze clues at the scene of a crime or a mystery.
Investigator; You have a knack for finding information.
Invisible Needle; You can create tiny darts of force.
Invisible Spell ; You can make your spell effects invisible.
Involuntary Rage; Extreme pain drives you berserk.
Iron Mind; You are descended from duergar who escaped enslavement by the illithids. The blood of these psionic-resistant former thralls runs thick in your veins.
Iron Will; You have a stronger will than normal.
Ironheart Aura; Your strength of spirit and martial training inspires i: 
Ironskin Chant; You can channel the power of your bardic music to enable yourself to ignore minor injuries.
Ironwood Body; Your body is crafted with a layer of hard ironwood that cushions blows.
Irresistible Gaze; Your gaze attack is more potent than normal.
Item Familiar; Choose a permanent magic item that you possess. You establish a link to that magic item, and the item improves in capability as you gain levels.
Item Reprieve; You learn how to use items from a school of magic previously prohibited to you.
Jack of All Trades; The deity has picked up a smattering of even the most obscure skills.
Jack of All Trades; You have picked up a smattering of even the most obscure skills.
Jack of All Trades; You've picked up a smattering of even the most obscure skills.
Jaws of Death; Gnashing teeth and a powerful set of jaws allow you to bite foes.
Jergal's Pact; You have made a bargain with Jergal, seneschal to the god of death. Although Myrkul, Cyric, and most recently Kelemvor have all served as the god of death, each has honored these pacts.
Jester's Magic; You are a skilled master of magical jests, capable of inciting audiences to laughter or lulling them to sleep.
Jotunbrud; You are descended from the giants who ruled the mountainspanning empire of Ostoria in ages past, and possess a truly impressive stature.
Judged by Aurifar; Aurifar, the Caliph of the Sky, has judged you, and he now shows you special favor.
Jungle Stamina; You are acclimated to the disease-ridden jungles of southwestern FaerÅ±n. Regions: Chult, Tashalar (Mhair and Black Jungles only), wild dwarf.
Jungle Veteran; You have a knack lor surviving in harsh environments andl avoiding the deadly ambushes of Xen'drix.
Kalashtar Mindlink; You are innately talented with your racial _mindlink_ psi-like ability.
Kalashtar Thoughtshifter; You have learned to control your mind blade for maximum impact in battle.
Kami's Intuition; You are descended from Shinjo, the first Unicorn, the kindest and most compassionate of the kami.
Karmic Strike; You have learned to strike when your opponent is most vulnerable - the same instant your opponent strikes you.
Karmic Strike; You have learned to strike when your opponent is most vulnerable: at the same instant your opponent strikes you. This feat is also called _ai uchi_.
Karmic Twin; You are descended from Bayushi, the first Scorpion, whose love for his daughter proved his final downfall.
Keen Intellect; You are descended from Agasha, the founder of the original Dragon shugenja school, a shugenja known for her keen intellect and powers of observation.
Keen Strike; Your unarmed strikes become as sharp as blades.
Keen-Eared Scout; Your sharp sense of hearing allows you to determine much more about your surroundings.
Keeper of Forbidden Lore ; A shred of demonic racial memory grants you knowledge of numerous ancient magical secrets.
Ki Blast; You focus your ki into a ball of energy that you can hurl at an opponent.
Ki Shout; You can bellow forth a _ki_-empowered shout that strikes terror into your enemies.
Kiai Shout; You can bellow forth a shout that strikes terror into your enemies.
Kihu-Sherem Guardian; You are one of the Kihu-Sherem, magically altered in the womb to allow you to better protect the ruling sorcerers of your homeland.
Killoren Ancient; You favor the killoren aspect of the ancient.
Killoren Destroyer; You favor the killoren aspect of the destroyer.
Killoren Hunter; You favor the killoren aspect of the hunter.
Kin Mastery; You can channel the energies of your arcane bloodline to turn or rebuke creatures with which you share a common heritage.
Knifefighter; You're an expert at using weapons in a grapple.
Knight Of The Lolth; You have mastered techniques of waging war when mounted on a monstrous spider (or similar vermin).
Knight Training; You are part of a knightly order that combines the divine calling of the paladin class with another form of training.
Knight of Stars; You swear allegiance to the Court of Stars, the paragons of the eladrin, and in exchange gain power to act on their behalf.
Knight of Tyr's Holy Judgment; You can draw upon the power of Tyr to sense and understand the law and to locate devils.
Knight of the Red Falcon; Your military order has a legendary ability to survive against overwhelming odds.
Knight of the Risen Scepter; Your military order is dedicated to fi ghting Set and his minions, and even death cannot stop you from this task.
Knight ot Tyr's Merciful Sword; You can draw upon the power of Tyr to sense where you are needed.
Knock-Down; Your mighty blows can knock foes off their feet.
Knock-down; The deity's mighty blows can knock foes off their feet.
Knockback; By putting your bulk behind a blow, you can push your enemy backward.
Knockdown Power; You can manifest powers that knock creatures off their feet.
Knowledge Devotion; You can use your knowledge to exploit your foes' weaknesses and overcome their strengths.
Kobold Endurance; Thanks to your race's determination, you are capable of amazing feats of strength and stamina.
Kobold Foe Strike; You are more effective in combat against your racial enemies.
Kung Fu Genius; Some styles of martial arts require the student to memorize advanced medical text's and anatomical charts. These styles favor the intellectual over the introspective.
Kuo-Toan Monasticism; The monitors learn to use the strange, sticky substance common to kuo-toas as part of their martial arts. If a monitor's first punch hits, it sticks it's hand to it's target, Executes an acrobatic tumble, and unfailingly lands it's second strike.
Landlord; By knowing the right nobles, making contacts with masons and artisans, or performing great deeds for a liege-lord, you have resources that help you build and expand your stronghold.
Landwalker; You can survive out of the water for a longer period of time than most of your kind.
Landwalker; You can survive out of water for a longer period of time than most of your kind.
Large and in Charge; You can prevent opponents from closing inside your reach.
Lasting Inspiration; Your songs continue to inspire allies long after your words have faded.
Lasting Life; You can shed negative levels with an act of will.
Law Devotion; The power of law assists you in combat.
Law Inviolate; Your unshakable faith in St. Cuthbert allows you to better apprehend fugitives or overcome villains who transgress the law.
Lawful Discipline; Your orderly mind allows you to overcome magical coercion more easily.
Leadership; You are the sort of person others want to follow, and you have done some work attempting to recruit cohorts and followers.
Leap Attack; You can combine a powerful charge and a mighty leap into one devastating attack.
Leap of the Heavens; Your excellent athletic ability and superior conditioning allow you to make near-superhuman leaps.
Leaping Climber; There's no better way to start a tough climb than by leaping up the wall.
Least Dragonmark; You have a least dragonmark.
Least Legacy; You awaken the basic abilities of a specific item of legacy.
Legacy Focus; Your item's legacy abilities are more potent than normal.
Legendary Acrobat; You can balance and tumble much more easily than a normal person.
Legendary Artisan; You have mastered the method of creating magic items.
Legendary Climber; You can climb rapidly much more easily than a normal person.
Legendary Commander; You attract and lead great armies of followers through sheer force of personality.
Legendary Leaper; You can cover great distances with only a brief start.
Legendary Leaper; You can jump much farther than normal for your size.
Legendary Rider; You can ride a mount in combat with ease, even bareback.
Legendary Rider; You can ride any mount without penalty (even bareback) and can control any mount in combat.
Legendary Tracker; You can track prey across or through the water, or even through the air.
Legendary Wrestler; You are exceptionally proficient at grappling.
Lesser Aberrant Dragonmark; Your aberrant dragonmark increases in size and becomes more powerful.
Lesser Dragonmark; You have a lesser dragonmark.
Lesser Legacy; You awaken more powerful abilities of a specific item of legacy.
Lichloved; By repeatedly committing perverted sex acts with the undead, the character gains dread powers.
Lichloved; By repeatedly consorting with the undead, you gain dread powers.
Life Drain; You drain additional life energy from your foes.
Life Leech; You automatically try to steal the last bit of life energy from anyone nearby.
Lifebond; Select a specifi c living creature that is friendly to you. You create a special bond with that creature.
Lifesense; You see the light that all living creatures emit.
Light of Aurifar; Undead that you turn or rebuke immolate.Undead that you turn or rebuke immolate.
Light to Daylight; Your inherent ability to create light is more powerful than normal.
Lightbringer; You can channel positive energy into your spells so that they glow with holy power.
Lightfeet; You have an incredibly soft step, making it diffi cult to track or hear you.
Lightning Fists; Your skill and agility allow you to attempt a series of blindingly fast blows.
Lightning Mace; You are a master of fighting with two maces at the same time, and have learned to strike your foes with lightning speed.
Lightning Reflexes; You have faster than normal reflexes.
Line of Shadow; You can cast a mystery withour line of sight or line of effec to the target.
Lingering Breath; Your breath weapon forms a lingering cloud.
Lingering Damage; Your sneak attacks continue to deal damage even after you strike.
Lingering Song; Your bardic music stays with the listeners long after the last note has died away.
Lingering Song; Your inspirational bardic music stays with the listeners long after the last note has died away.
Lingering Spell; Residual eldritch energy from your spell continues to harm your enemies after the spell's main effect has expired.
Linked Power; You can link a power to the power you manifest in this round so that it goes off next round.
Lion Spy; Your ancestor, Akodo Shinju, was the greatest spy of the Lion clan.
Lion Tribe Warrior; You have learned how to pounce on your foes, like the lion that roams your lands.
Lion's Pounce; You can deliver a terrible attack at the end of a charge.
Listen to This; You can perfectly repeat to others what you hear.
Live my Nightmare; Those who magically pry into your mind become privy to your most frightening dreams.
Lliira's Blessing; Thanks to the favor of the goddess of freedom, you are difficult to restrain.
Lolth's Blessing; If you have this feat, the Spider Queen has blessed you with additional magical abilities.
Lolth's Blessing; The Spider Queen has blessed you with additional magical abilities.
Lolth's Boon; You can channel negative energy to empower vermin.
Lolth's Caress; You can channel negative energy to accelerate poisonous effects.
Lolth's Meat; Like all drow raised in cities that are ruled by Lolth's priestesses, you know that you exist only to provide your goddess with food and pleasure. This knowledge lends you a certain bloodthirsty readiness.
Long Reach; You know how to use your great stature to reach an opponent more than 5 feet away with a spearlike weapon. REGION: Gnoll, volodni.
Long Strike; You have practiced grasping a pole arm farther down the haft than normal, granting you extended reach.
Longstride Elite; Your longstride shifter trait improves.
Longstride Elite; Your shifter trait improves.
Longstride; Shifter trait Pseudo feat.
Longtooth Elite; Your longtooth shifter trait improves.
Longtooth; Shifter trait Pseudo feat.
Lord of the Uttercold; Through careful study of the Elemental Planes and their interactions with the Negative Energy Plane, you have learned to wield the uttercold.
Low Blow; You can get underfoot and attack creatures larger than you.
Low Profile; You are less famous than others of your class and level, or you wish to maintain a less visible presence than others of your station.
Lucid Channeling; W hen you invite a celestial into your body, you open your mind completely to the divine spirit.
Luck Devotion; Luck makes your attacks more effective.
Luck of Heroes; You are descended from the quick-footed and quick-witted Hiruma, the archetypal hunter and scout.
Luck of Heroes; Your land is known for producing heroes. Through pluck, determination, and resilience, you survive when no one expects you to come through.
Luck of Heroes; Your land is known for producing heroes. Through pluck, determination, and resilience, your people survive when no one expects them to come through. Regions: Aglarond, Dalelands, Tethyr, the Vast.
Lucky Break  ; You can hit an object in just the right place.
Lucky Catch  ; Your good fortune can help prevent you from falling to your doom.
Lucky Fingers  ; The winds of fortune guide your hands when you most need luck.
Lucky Start  ; Sometimes your luck overcomes a slow natural reaction.
Lunar Magic; Your spells and spell-like abilities are tied to the phase of the moon, rising and falling with the strength of SelÅ±ne.
Lunatic Insight; Your madness grants you insight and knowledge.
Lunging Strike; You make a single attack against a foe who stands just beyond your reach.
Lurk Augment, Extra; You can use your lurk augment more often than normal.
Lurk Augment, Ranged; You can use some of your lurk augments in conjunction with a ranged attack.
Lurk Master; You are more skilled in augmenting your attack than your training would indicate.
Lurking Familiar; Your familiar hides within the folds of your robe or takes cover behind you as your opponents close in. When it moves to attack, its sudden appearance might catch your foe by surprise.
Lycanthropic Spell; You cast spells while in your lycanthropic animal form.
Lyric Spell; You can channel the power of your bardic music into your magic, allowing you to expend uses of your bardic music ability to cast spells.
Mad Alchemist; You are an expert at using alchemical items. Through experimentation, research, and your careful study of the art of alchemy, you have learned to make the most of items such as alchemist's fire.
Mad Faith; Your depravity has twisted the connection between you and your patron deity. You suffer fl ashes of insight interrupted by flashes of madness.
Mad Foam Rager; You fight with the rage that only a rabid badger or a beer addled dwarf can bring to bear. In combat, you shrug off attacks and continue fighting even in the face of horrific injuries and effects.
Maenad Deafening Scream; You can use your energy ray (sonic) psi-like ability to better effect.
Maenad Fury; You can use your outburst racial trait more often.
Maenad Scream; You can use your energy ray (sonic) psi-like ability more often.
Mage Slayer; You have studied the ways and weaknesses of spellcasters and can time your attacks and defenses against them expertly.
Magic Device Attunement; You have a knack for activating familiar magic items.
Magic Devotion; You channel your faith into a bolt of energy that strikes your target from afar.
Magic Disruption; You can use your powers of abjuration to interfere with other casters' spells.
Magic In The Blood; You have a knack for getting the most out of your innate magical abilities. You can use them more often than others of your race can.
Magic Sensitive; You literally see the emanations of magic around you.
Magic in the Blood; You claim a karmic link with Iuchi, one of the most resourceful shugenjas in early Rokugan.
Magic of the Land; Your intimate understanding of the natural world allows you to imbue your spells with life-giving magical power from the land itself.
Magical Appraisal; You can judge the usefulness of magic items.
Magical Aptitude; You have a knack for magical endeavors.
Magical Artisan; You are descended from Asahina Yajinden, a shugenja of the Crane clan who became the greatest lieutenant of the dread sorcerer Iuchiban. Yajinden abused his power, creating the Blood-swords and other evil magic items used by the armies of Iuchiban.
Magical Artisan; You have mastered the method of creating a certain kind of magic item.
Magical Beast Wild Shape; You can wild shape into magical beast form.
Magical Fortune ; Even you are sometimes surprised by how well your spells work.
Magical Training; You come from Halruaa, a half-legendary land where basic magic is taught to all with the aptitude for it. Every crafter and laborer, it seems, knows a cantrip or two to ease her work.
Magical Training; You come from a land where cantrips are taught to all who have the aptitude to learn magic. Every crafter and artisan, it seems, knows a minor spell or two.
Magistrate's Mind; You claim descent from Soshi Saibankan, a great Scorpion judge who helped establish the Empire's institution of Emerald Magistrates.
Maiming Strike; You can make dreadful attacks that disfigure your opponent.
Make Your Own Luck ; Your hard work lets you exploit minor loopholes.
Malevolence; You can possess a creature and control its actions.
Malign Spell Focus; The character's spells that have the evil descriptor are more potent than normal due to a deal she makes with an evil power.
Malign Spell Focus; Your evil spells are more potent than normal due to a deal forged with an evil power.
Manifest Druid; Your years of wandering the Eldeen Reaches have given you a familiarity with its three manifest zones and the powers of the planes they are linked to.
Manifest Flight; You have learned to make use of the manifest zone in Sharn to improve your natural ability to fly.
Manifest Leap; You have learned to make use of the manifest zone in Sharn to increase your ability to jump and reduce the damage you take when you fall.
Manticore's Sting; You are a master of the art of throwing numerous, sharp projectiles, such as daggers and darts.
