/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Heavenly Lightning; Evocation; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Heavenly Lightning Storm; Evocation; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Hell's Power; Conjuration; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Hellfire; Evocation; yes; yes; no; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Hellfire; Evocation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Hellfire Storm; Evocation; no; no; no; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Hellfire Storm; Evocation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Hellish Horde; Conjuration; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Hellish Horde; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Helping Hand; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Herald's Call; Enchantment; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Herald's Call; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Herald's Call; Enchantment; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Heroes' Feast; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Heroics; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Heroism; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Heroism, Greater; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Hero’s Blade; Necromancy; yes; no; no; no; yes; no; Eberron Campaign Setting; Eberron (3.5); 
Hesitate; Enchantment; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Hibernal Healing; Transmutation; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Hibernate; Necromancy; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Hidden Lodge; Conjuration; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Hidden Truename; Abjuration; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Hidden Ward; Illusion; yes; yes; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
Hide from Animals; Abjuration; no; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Hide From Dragons; Abjuration; no; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Hide from Dragons; Abjuration; no; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Hide from Dragons; Abjuration; no; yes; yes; no; no; no; Draconomicon; Supplementals (3.5); 
Hide from Undead; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Hide Life; Necromancy; yes; yes; yes; no; no; yes; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Hide the Path; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Hindsight; Divination; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Hindsight; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Hiss of Sleep; Enchantment; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Hiss of Sleep; Enchantment; yes; no; no; no; no; no; Draconomicon; Supplementals (3.5); 
Hoard Gullet; Transmutation; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Hoard Life; Conjuration; yes; yes; no; yes; no; no; Races of the Dragon; Supplementals (3.5); 
Hold Animal; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Hold Monster; Enchantment; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Hold Monster, Mass; Enchantment; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Hold Person; Enchantment; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Hold Person Or Ghost; Enchantment; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Hold Person, Mass; Enchantment; yes; yes; yes; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Hold Portal; Abjuration; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Holocaust Cloak; Desert Wind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Holy Aura; Abjuration; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Holy Fire; Evocation; yes; yes; no; no; yes; no; The Forge of War; Eberron (3.5); 
Holy Fire Shield; Evocation; yes; yes; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Holy Mount; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Holy Smite; Evocation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Holy Spurs; Transmutation; yes; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Holy Spurs; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Holy Star; Abjuration; yes; yes; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Holy Star; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Holy Star; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Holy Star; Abjuration; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Holy Storm; Conjuration; yes; yes; yes; no; yes; no; Planar Handbook; Supplementals (3.5); 
Holy Storm; Conjuration; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Holy Sword; Evocation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Holy Transformation; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Holy Transformation, Lesser; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Holy Word; Evocation; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Hood of the Cobra; Illusion; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Horizikaul's Boom; Evocation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Horizikaul's Cough; Evocation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Horizikaul's Versatile Vibration; Evocation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Horrible Taste; Transmutation; yes; yes; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Horrible Taste; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Horrid Sickness; Necromancy; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Horrid Wilting; Necromancy; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Horror of the Spoken Name; Necromancy; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Horse's Nose; Transmutation; yes; yes; no; no; yes; no; Oriental Adventures; Oriental Adventures (3.0); 
Hound of Doom; Illusion; yes; yes; no; no; no; no; Complete Warrior; Supplementals (3.5); 
Howling Chain; Evocation; yes; yes; no; yes; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Howling Chain; Evocation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Humanoid Essence; Transmutation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Humanoid Essence, Greater; Transmutation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Humanoid Essence, Lesser; Transmutation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Hungry Gizzard; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Hunter's Eye; Divination; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Hunter's Mercy; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Hunter's Mercy; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Hunter's Mercy; Transmutation; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Hunter's Sense; Tiger Claw; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Hunters of Hades; Conjuration; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Hunters of Hades; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Hurl; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Hurtling Stone; Conjuration; yes; yes; no; no; no; no; Heroes of Battle; Supplementals (3.5); 
Hydra Slaying Strike; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Hydrate; Conjuration; yes; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Hymn of Praise; Evocation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Hymn of Praise; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Hymn of Praise; Evocation; yes; yes; no; yes; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Hypnotic Pattern; Illusion; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Hypnotism; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Hypothermia; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
I Smell Your Fear; Divination; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Ice Assassin; Illusion; yes; yes; yes; no; no; yes; Frostburn; Supplementals (3.5); 
Ice Axe; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ice Blast; Evocation; no; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Ice Blast; Evocation; no; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Ice Burst; Evocation; yes; yes; yes; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Ice Castle; Conjuration; yes; yes; no; yes; no; no; Frostburn; Supplementals (3.5); 
Ice Claw; Evocation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Ice Dagger; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ice Dagger; Evocation; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ice Darts; Conjuration; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Ice Flowers; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Ice Gauntlet; Evocation; yes; no; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Ice Knife; Conjuration; no; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Ice Knife; Conjuration; no; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ice Knife; Conjuration; yes; yes; yes; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Ice Knife; Conjuration; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Ice Rift; Evocation; yes; yes; yes; no; yes; no; Frostburn; Supplementals (3.5); 
Ice Shape; Transmutation; yes; yes; yes; no; yes; no; Frostburn; Supplementals (3.5); 
Ice Shield; Abjuration; yes; yes; yes; no; no; no; Frostburn; Supplementals (3.5); 
Ice Ship; Conjuration; yes; yes; yes; no; no; no; Frostburn; Supplementals (3.5); 
Ice Skate; Transmutation; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Ice Slick; Conjuration; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Ice Storm; Evocation; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Ice to Flesh; Transmutation; yes; yes; yes; no; no; no; Frostburn; Supplementals (3.5); 
Ice Web; Conjuration; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Iceberg; Evocation; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Icelance; Transmutation; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Icelance; Conjuration; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Icicle; Abjuration; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Iconic Manifestation; Transmutation; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Icy Claw; Conjuration; yes; yes; no; yes; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Identify; Divination; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Identify Transgressor; Divination; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Igedrazaar's Miasma; Conjuration; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ignite Dragonmark; Transmutation; yes; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Illusion Purge; Evocation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Illusory Feast; Illusion; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Illusory Pit; Illusion; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Illusory Pit; Illusion; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Illusory Pit; Illusion; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Illusory Script; Illusion; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Illusory Wall; Illusion; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Ilyykur's Mantle; Abjuration; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Imbue Familiar With Spell Ability; Universal; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Imbue Familiar With Spell Ability; Universal; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Imbue Familiar With Spell Ability; Universal; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Imbue With Spell Ability; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Immediate Assistance; Transmutation; yes; no; no; no; no; no; Complete Mage; Supplementals (3.5); 
Immortal Fortitude; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Impede; Enchantment; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Impede Sun's Brilliance; Abjuration; no; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Impeding Stones; Transmutation; yes; yes; no; no; yes; no; CityScape; Supplementals (3.5); 
Imperious Glare; Necromancy; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Imperious Glare; Necromancy; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Implacable Pursuer; Divination; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Implacable Pursuer; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Implosion; Evocation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Impotent Possessor; Abjuration; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Imprison Possessor; Abjuration; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Imprison Soul; Necromancy; yes; yes; yes; yes; no; no; Heroes of Horror; Supplementals (3.5); 
Imprison Soul; Necromancy; yes; yes; yes; yes; no; no; Book of Vile Darkness; Supplementals (3.0); 
Imprisonment; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Improved Alarm; Abjuration; yes; yes; no; yes; no; no; Manual of the Planes; Supplementals (3.0); 
Improved Arcane Lock; Abjuration; yes; yes; yes; no; no; no; Stronghold Builder's Guidebook; Supplementals (3.0); 
Improved Arcane Lock; Abjuration; yes; yes; yes; no; no; no; Lord of the Iron Fortress; Adventures (3.0); 
Improved Blindsight; Transmutation; no; no; no; no; no; no; Savage Species; Supplementals (3.0); 
Improved Blink; Transmutation; yes; yes; no; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Improved Enlarge; Transmutation; yes; yes; yes; no; no; no; Savage Species; Supplementals (3.0); 
Improved Invisibility; Illusion; yes; yes; no; no; no; no; Player's Handbook 3.0; Core (3.0); 
Improved Mage Armor; Conjuration; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Improved Portal Alarm; Abjuration; yes; yes; no; yes; no; no; Manual of the Planes; Supplementals (3.0); 
Improved Reduce; Transmutation; no; no; no; no; no; no; Savage Species; Supplementals (3.0); 
Improvisation; Transmutation; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Improvisation; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Improvisation; Transmutation; yes; yes; yes; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Incarnate Construct; Transmutation; yes; yes; yes; no; no; yes; Savage Species; Supplementals (3.0); 
Incarnum Apotheosis; Transmutation; yes; yes; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Incarnum Arc; Evocation; yes; yes; yes; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Incarnum Bladestorm; Conjuration; yes; yes; yes; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Incarnum Vigor; Transmutation; yes; yes; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Incarnum Weapon; Conjuration; yes; yes; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Incendiary Cloud; Conjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Incendiary Slime; Conjuration; yes; yes; yes; no; no; no; Complete Mage; Supplementals (3.5); 
Incendiary Surge; Evocation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Incite; Enchantment; yes; yes; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Incite; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Incite Riot; Enchantment; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Incorporeal Disharmonics; Evocation; yes; yes; no; yes; no; no; Ghostwalk; Supplementals (3.0); 
Incorporeal Enhancement; Necromancy; yes; yes; yes; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Incorporeal Enhancement; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Incorporeal Nova; Necromancy; yes; yes; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Incorporeal Nova; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Increase Virulence; Transmutation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Indifference; Enchantment; yes; yes; yes; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Indisputable Possession; Conjuration; yes; yes; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Indomitability; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Inevitable Defeat; Enchantment; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Infallible Servant; Necromancy; yes; yes; yes; no; no; no; Exemplars of Evil; Supplementals (3.5); 
Infernal Threnody; Evocation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Infernal Threnody; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Infernal Threnody; Evocation; yes; yes; no; yes; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Infernal Transformation; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Infernal Transformation, Lesser; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Infernal Wound; Transmutation; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Infernal Wound; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Inferno; Transmutation; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Inferno; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Inferno; Transmutation; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Inferno Blade; Desert Wind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Inferno Blast; Desert Wind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Infestation of Maggots; Necromancy; yes; yes; yes; no; no; no; Complete Divine; Supplementals (3.5); 
Infestation of Maggots; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Infestation of Maggots; Necromancy; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Inflict Critical Damage; Transmutation; yes; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Inflict Critical Wounds; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Critical Wounds, Mass; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Light Damage; Transmutation; yes; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Inflict Light Damage, Mass; Transmutation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Inflict Light Wounds; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Light Wounds, Mass; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Minor Wounds; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Moderate Damage; Transmutation; yes; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Inflict Moderate Damage, Mass; Transmutation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Inflict Moderate Wounds; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Moderate Wounds, Mass; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Serious Damage; Transmutation; yes; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Inflict Serious Wounds; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inflict Serious Wounds, Mass; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Inhibit; Enchantment; yes; yes; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Inhibit; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Inky Cloud; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Inky Cloud; Conjuration; yes; yes; yes; no; no; no; Savage Species; Supplementals (3.0); 
Inner Beauty; Transmutation; yes; yes; no; yes; no; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Inquisition; Enchantment; no; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Insanity; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Insect Plague; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Insidious Insight; Divination; yes; no; no; no; no; no; Races of Eberron; Eberron (3.5); 
Insidious Rhythm; Enchantment; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Insidious Rhythm; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Insidious Rhythm; Enchantment; yes; yes; no; yes; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Insidious Suggestion; Enchantment; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Insight of Good Fortune; Divination; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Insightful Feint; Divination; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Insightful Feint; Divination; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Insightful Strike; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Insightful Strike, Greater; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Insignia of Alarm; Abjuration; yes; yes; no; yes; no; no; Races of Destiny; Supplementals (3.5); 
Insignia of Blessing; Enchantment; yes; yes; no; yes; no; no; Races of Destiny; Supplementals (3.5); 
Insignia of Healing; Conjuration; yes; yes; no; yes; no; no; Races of Destiny; Supplementals (3.5); 
Insignia of Warding; Abjuration; yes; yes; no; yes; no; no; Races of Destiny; Supplementals (3.5); 
Inspirational Boost; Enchantment; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Inspirational Boost; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Inspired Aim; Enchantment; yes; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Instant Diversion; Illusion; yes; yes; no; no; no; no; Races of the Dragon; Supplementals (3.5); 
Instant Locksmith; Divination; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Instant Locksmith; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Instant of Power; Transmutation; yes; yes; no; no; no; no; The Forge of War; Eberron (3.5); 
Instant Refuge; Evocation; yes; yes; yes; no; no; yes; Spell Compendium; Supplementals (3.5); 
Instant Search; Divination; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Instant Search; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Intensify Manifest Zone; Conjuration; yes; yes; no; no; yes; yes; Faiths of Eberron; Eberron (3.5); 
Interfaith Blessing; Enchantment; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Interminable Echo; Illusion; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Internal Fire; Evocation; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Internal Fire; Evocation; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Interplanar Message; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Interplanar Message; Evocation; yes; yes; no; no; no; no; Manual of the Planes; Supplementals (3.0); 
Interplanar Telepathic Bond; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Invest Heavy Protection; Conjuration; no; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Invest Light Protection; Conjuration; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Invest Moderate Protection; Conjuration; no; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Investiture of the Amnizu; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Barbed Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Bearded Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Chain Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
