/ http://www.jrrvf.com/hisweloke/sindar/online/sindar/dict-sd-en.html

.Sindarin, Type, Definition

a; conj.; and
lhoeb; adj. (pl); fresh
lhom; adj. (pl); weary
lhong; adj. (pl); heavy
lhonn; n. (pl); 1. narrow path or strait ○ 2. by ext., entrance to harbour, land-locked haven
lhorn; n. (pl); 1. quiet water ○ 2. by ext., anchorage, harbour
lhoss; n.; whisper or rustling sound
lhost; adj. (pl); empty
lhoth; n. (pl); flower, inflorescence, a head of small flowers
lhothod; n. (pl); sing. of loth, (single) flower
lhum; n. (pl); shade
lhumren; adj. (pl); shady
lhunt; n. (pl); boat
lhâf; v. (pl); pres. 3rd of lav-, (he) licks
lhê; n.; fine thread, spider filament
lhîn; n. (pl); pool
lhîw; n.; sickness
lhôd; v. (pl); pres. 3rd of loda-, (he) floats
lhútha; v. (pl); to enchant
lhû; n. (pl); a time, occasion
lhûg; n.; snake, serpent
lhûn; adj.; (unknown meaning)
lhûth; n. (pl); spell, charm
lif; n.; link "hand-link" 
lim; n.; fish
limlug; n.; fish-dragon, sea-serpent
limmid; pa. t.; †limmint *S. (lhimmint N.) v. to moisten
limmint; pa. t. (pl); †limmint *S. (lhimmint N.) v. to moisten
limp; adj.; wet
lin; adj. (pl); poss. 2nd thy (reverential)
lind; n.; air, tune
liniath; n.; coll. of lîn, pools 
linna; v.; to sing 
linnathon; v.; fut. 1st of linna-, I will sing, I will chant
linnod; n.; 1. (?) a single verse used as a maxim ○ 2. (?) a chant of a certain metrical type, where each (half-)verse is composed of seven syllables
linnon; v.; pres. 1st of linna-, I sing
liria; inf.; lirio N. v. to sing
lirio; inf. (pl); lirio N. v. to sing
lith; n.; ash, sand, dust
lithui; adj.; ashen, ashy, of ash, ash-coloured, dusty
lobor; n.; horse
loch; n.; ringlet
loda; v.; to float
loeg; n.; pool
loen; adj.; soaking wet, swamped
lom; adj.; weary
lond; n.; 1. narrow path or strait ○ 2. by ext., entrance to harbour, land-locked haven
long; adj.; heavy
lonn; n. (pl); 1. narrow path or strait ○ 2. by ext., entrance to harbour, land-locked haven
lonnath; n.; coll. of lond, havens
lorn; n.; 1. quiet water ○ 2. by ext., anchorage, harbour
loss; n.; snow (especially fallen or long-lying snow)
lossen; adj.; snowy
lossoth; n.; class pl. of loss, the Snowmen
lost; adj.; empty
loth; n.; flower, inflorescence, a head of small flowers
lotheg; n.; sing. of loth, (single) flower
lothod; n.; sing. of loth, (single) flower
lothron; n.; the month of May
luin; adj.; invar. blue
luithia; v.; to quench 
luithiad; ger.; of luithia-, quenching 
lum; n.; shade
lumren; adj.; shady
lunt; n.; boat
lâf; v.; pres. 3rd of lav-, (he) licks
lín; adj.; poss. 2nd thy (reverential)
lîn; n.; pool
lîr; n.; song, poem, lay
lô; n.; shallow lake, fenland
lôd; v.; pres. 3rd of loda-, (he) floats
lútha; v.; to enchant
lû; n.; a time, occasion
lûth; n.; spell, charm
lŷg; n.; snake
mab; n. (pl); a hand-full, complete hand (with all five fingers)
mad; inf.; medi N. v. to eat
mae; adv.; well
maecheneb; adj.; sharp-eyed
maed; adj.; handy, skilled, skilful
maeg; adj.; sharp, piercing, penetrating, going deep in something
mael; n.; lust
maelui; adj.; lustful
maen; adj.; skilled, clever
maenas; n.; abst. of maen, craft
maer; adj.; useful, fit, good (of things)
maeth; n.; battle, fight (not of general host but of two or a few)
maetha; v.; to handle, wield, manage, deal with
maethor; n.; warrior
maew; n.; gull
magl; n. (pl); sword
magol; n.; sword
magor; n.; swordsman 
maidh; adj.; pale, fallow, fawn
mail; n. (pl); plural of pollen, yellow powder
main; adj.; num. ord. first, (only in the sense of) prime, chief, pre-eminent
malen; adj.; yellow
malhorn; n. (pl); golden tree of Lothlórien
mallen; adj.; of gold, golden
mallorn; n.; golden tree of Lothlórien
mallos; n.; a golden flower
malt; n.; gold (as metal)
malthen; adj. (pl); of gold, golden
malthorn; n. (pl); golden tree of Lothlórien
malu; adj.; fallow, pale
malw; adj. (pl); fallow, pale
man; pron.; (?) what?
manadh; n.; 1. doom, final end, fate, fortune ○ 2. by ext., final bliss
matha; inf.; matho N. v. to stroke, feel, handle
matho; inf. (pl); matho N. v. to stroke, feel, handle
maur; n.; gloom
maw; n.; soil, stain
mbair; nasal mut. pl. of; bar
mbar; nasal mut. of; bar
mbas; soft mut. of; bass 27-8
medi; inf. (pl); medi N. v. to eat
medli; n.; bear
medlin; adj.; honey-eater, bear-like
medui; adj.; last vedui, Arvedui (iv)
megil; n.; sword
megli; n. (pl); bear
meglin; adj. (pl); honey-eater, bear-like
megor; adj.; sharp-pointed 
meidh; adj. (pl); pale, fallow, fawn
meil; n. (pl); plural of pollen, yellow powder
mein; adj. (pl); num. ord. first, (only in the sense of) prime, chief, pre-eminent
mel; inf.; melo N. pa. t. melant N. v. to love
melant; inf. (pl); melo N. pa. t. melant N. v. to love
melch; adj.; greedy
meldir; n.; m. friend
meldis; n.; f. friend
meleth; n.; love
melethril; n.; f. lover
melethron; n.; m. lover
melin; adj. (pl); plural of yellow
mell; adj.; dear
mellon; n.; friend
mellyn; n. (pl); plural of friend
mellyrn; n. (pl); plural of golden tree of Lothlórien
melo; inf. (pl); melo N. pa. t. melant N. v. to love
melui; adj.; lovely, sweet
mely; n. (pl); plural of pollen, yellow powder
men; n.; way, road
meneg; adj.; num. card. thousand "thousand caves" 
menel; n.; sky, high heaven, firmament, the region of the stars
menniath; n.; coll. of ment, 1. many points ○ 2. by ext., range of mountains 
ment; n.; point
meren; adj.; festive, gay, joyous
mereth; n.; feast, festival
meril; n.; rose (flower)
merilin; n.; nightingale
mesc; adj. (pl); wet
mesg; adj.; wet
meth; n.; end
methed; n.; end
methen; adj.; end, final
mhellyn; soft mut. pl. of; mellon
milui; adj.; friendly, loving, kind
mimp; adj.; num. card. eleven
min; prep. (pl); (in) between (referring to a gap, space, barrier or anything intervening between two other things) LotR/Map, 14
minai; adj.; single, distinct, unique
minas; n.; abst. 1. tower ○ 2. by ext., fort, city with a citadel and central watch-tower
mindon; n.; 1. isolated hill, especially a hill with a watch tower ○ 2. by ext., tower
minei; adj. (pl); single, distinct, unique
minib; adj.; num. card. eleven
miniel; n.; an Elf, one of the Vanyar
minlamad; n.; 'first voiced' or 'first-echoing', alliterative (?) verse mode (minlamad thent/estent)
minna; v.; to enter
minnas; n. (pl); abst. 1. tower ○ 2. by ext., fort, city with a citadel and central watch-tower
minno; v.; imp. of minna-, enter! (lit. to the inside!)
minui; adj.; num. ord. first
minuial; n.; "morrowdim", the time near dawn, when the star fade
mirion; n.; augm. of mîr, great jewel, Silmaril
miruin; n. (pl); plural of augm. of mîr, great jewel, Silmaril
mist; n.; error, wandering
mista; inf.; misto N. v. to stray
mistad; n.; straying, error
misto; inf. (pl); misto N. v. to stray
mistrad; n. (pl); straying, error
mith; adj.; (pale) grey
mithren; adj.; grey
mithril; n.; true-silver, a silver-like metal
mithrin; adj. (pl); plural of grey
moe; adj.; soft
moeas; n.; abst. of moe, dough
moelui; adj. (pl); lustful
molif; n.; wrist
morben; n.; one of the Avari or Easterlings in Beleriand
morbin; n. (pl); plural of one of the Avari or Easterlings in Beleriand
morchaint; n. (pl); plural of shadow (of objects, cast by light), dark shape
morchant; n.; shadow (of objects, cast by light), dark shape
morgul; n.; black arts, sorcery, necromancy
morn; adj.; black, dark
mornedhel; n.; Dark-Elf
muda; inf.; mudo N. pa. t. mudas N. v. to labour, toil
mudas; inf. (pl); mudo N. pa. t. mudas N. v. to labour, toil
mudo; inf. (pl); mudo N. pa. t. mudas N. v. to labour, toil
muil; n.; drear Muil 
muin; adj.; dear
muindor; n.; m. brother
muindyr; n. (pl); plural of m. brother
muinthel; n.; f. sister
muinthil; n. (pl); plural of f. sister
mund; n.; bull
myrn; adj. (pl); plural of black, dark
mâb; n.; a hand-full, complete hand (with all five fingers)
mâl; n.; pollen, yellow powder
mân; n.; departed spirit
mín; adj.; poss. 1st pl. our
mínil; n. (pl); plural of an Elf, one of the Vanyar
mírdain; n. (pl); plural of jewel-smith
mírdan; n.; jewel-smith
míriel; part.; sparkling like a jewel
mîdh; n.; dew
mîl; n.; love, affection
mîn; prep.; (in) between (referring to a gap, space, barrier or anything intervening between two other things) LotR/Map, 14
mîr; n.; jewel, precious thing, treasure
mîw; adj.; small, tiny, frail
môr; n.; darkness, dark, night
mûl; n.; slave, thrall
mœrbin; n. (pl); plural of one of the Avari or Easterlings in Beleriand
mœrilind; n. (pl); nightingale
mŷl; n.; gull
na; v.; to be aer i eneth lín 24
nad; n.; thing
nadhor; n.; pasture
nadhras; n.; abst. of nadhor, pasture
nae; interj.; alas
naeg; n.; pain
naegra; inf.; †naegro *S. (negro N.) v. to pain
naegro; inf. (pl); †naegro *S. (negro N.) v. to pain
naer; adj.; sad, lamentable
naergon; n.; woeful lament
naeth; n.; 1. biting ○ 2. by ext., woe (gets sense of gnashing teeth in grief) 
naew; n.; jaw
nag; v.; to bite
naglath; n.; coll. of nagol, the teeth
nagol; n.; tooth 
nail; adj.; num. ord. third
naith; n.; any formation or projection tapering to a point: a spearhead, triangle gore, wedge, narrow promontory
nalla; v.; to cry 
nallon; v.; pres. 1st of nalla-, I cry
nan; n.; 1. wide grassland, land at foot of hills with many streams ○ 2. by ext., valley
nana; n.; hypo. mother, mummy
nand; n. (pl); 1. wide grassland, land at foot of hills with many streams ○ 2. by ext., valley
naneth; n.; mother
nann; n. (pl); 1. wide grassland, land at foot of hills with many streams ○ 2. by ext., valley
nara; inf.; naro N. pa. t. narante N. v. Arch., to tell
narante; inf. (pl); naro N. pa. t. narante N. v. Arch., to tell
narbeleth; n.; october (month)
narch; n.; (bitter-) biting LotR, 
narcha; v.; to rend
nardh; n.; knot
narn; n.; a tale or a saga, that is told in verse to be spoken and not sung
naro; inf. (pl); naro N. pa. t. narante N. v. Arch., to tell
nartha; inf.; nartho N. v. to kindle
narthan; n.; beacon, signal fire to notify of the approach of an enemy 
nartho; inf. (pl); nartho N. v. to kindle
naru; adj.; red
narw; adj. (pl); red
narwain; n.; the month of January
nass; n.; 1. point, (sharp) end ○ 2. angle or corner
nasta; v.; to prick, point, stick, thrust
nath; n.; web
nathron; n.; weaver, webster
natsai; n. (pl); plural of any formation or projection tapering to a point: a spearhead, triangle gore, wedge, narrow promontory
naud; adj.; bound
naug; n.; and adj. 1. stunted, dwarf ○ 2. as a noun, a Dwarf
naugl; n. (pl); dim. of naug, dwarf
nauglin; n. (pl); plural of dim. of naug, dwarf
naugol; n.; dim. of naug, dwarf
naugrim; n.; class pl. of naug, Dwarves
naur; n.; 1. flame ○ 2. fire
nauth; n.; thought
nautha; v.; to conceive
naw; n.; idea
nawag; n.; Dwarf
nawb; n.; thumb
ned; prep.; (uncertain meaning) in, of (about time, e.g. giving a date)
neder; adj.; num. card. nine
nedh; pref.; in, inside, mid-
nedhu; n.; bolster, cushion
nedhw; n. (pl); bolster, cushion
nedia; v.; to count
nedrui; adj.; num. ord. ninth
nef; prep.; on this side of
negra; inf. (pl); †naegro *S. (negro N.) v. to pain
negro; inf. (pl); †naegro *S. (negro N.) v. to pain
negyth; n. (pl); plural of Dwarf, lit. "the Stunted Folk"
neil; adj. (pl); num. ord. third
neitha; v.; to wrong, to deprive 
neithan; adj.; deprived, wronged
nelchaenen; adj.; num. ord. thirtieth
neled; adj.; num. card. three
neledh; inf.; neledhi N. v. to enter
neledhi; inf. (pl); neledhi N. v. to enter
neleg; adj.; num. ord. third
nell; n.; bell
nella; v.; to sound (of bells)
nelladel; n.; ringing of bells
nelthil; n.; triangle
nelui; adj.; num. ord. third
nem; n.; nose
nemb; n. (pl); nose
nen; n.; 1. water (used of a lake, pool or lesser river) ○ 2. by ext., waterland
nend; adj.; watery
nenn; adj. (pl); watery
nern; n. (pl); plural of a tale or a saga, that is told in verse to be spoken and not sung
nerthui; adj.; num. ord. ninth
nesta; v.; to heal 
nestad; ger.; of nesta-, healing
nestadren; adj.; healing
nestag; inf.; nestegi N. pa. t. nestanc N. v. to insert, stick in
nestanc; inf. (pl); nestegi N. pa. t. nestanc N. v. to insert, stick in
nestedrin; adj. (pl); plural of healing
nestegi; inf. (pl); nestegi N. pa. t. nestanc N. v. to insert, stick in
neth; n.; f. 1. hypo. of nîth II sister ○ 2. girl (in her teens, approaching the adult)
nethig; n.; f. dim. of neth II, 1. "litte sister" ○ 2. ring finger (Elvish play-name used by and taught to children)
neweg; n. (pl); plural of Dwarf
neweig; n. (pl); plural of Dwarf
ngaurhoth; nasal mut. of; gaurhoth
nguruthos; nasal mut. of; guruthos
niben; adj.; 1. small, petty ○ 2. as a noun, little finger (Elvish play-name used by and taught to children)
nibin; adj. (pl); plural of 1. small, petty ○ 2. as a noun, little finger (Elvish play-name used by and taught to children)
nifred; n. (pl); pallor, fear
nifredil; n. (pl); a pale winter flower, snowdrop
niged; n.; little finger
nimmid; pa. t.; nimmint N. v. to whiten
nimmint; pa. t. (pl); nimmint N. v. to whiten
nimp; adj.; small and frail
nin; pron.; me
nind; adj.; slender
ninglor; n.; golden water-flower, gladden
ningloron; der. pl. of; ninglor Ningloron 
ninn; adj. (pl); slender
ninniach; n.; rainbow
niphred; n.; pallor, fear
niphredil; n.; a pale winter flower, snowdrop
no; v.; imp. of na-, be!
nobad; n.; dual pl. of nawb, the pair of fingers composed of the thumb and the index (grouped together as in the act of picking something)
nod; v.; to tie, bind
noe; n. (pl); plural of idea
noeg; n. (pl); plural of and adj. 1. stunted, dwarf ○ 2. as a noun, a Dwarf
noen; adj.; wise, sensible
noer; adj. (pl); sad, lamentable
nogoth; n.; Dwarf, lit. "the Stunted Folk"
nogotheg; n.; dim. of nogoth, lit. "dwarflet", a name of the Petty-Dwarves
nogothrim; n.; class pl. of nogoth, Dwarf-folk
nor; v.; 1. to run ○ 2. by ext., to ride
nordh; n.; cord
norn; adj.; 1. twisted, knotted, crabbed, contorted ○ 2. hard
nornwaith; n.; class pl. of norn, the Dwarves
noro; v.; imp. of nor-, run! ride! lim 
nos; n. (pl); kindred, family, clan
noss; n.; kindred, family, clan
nost; n.; kindred, family, house
nothlir; n.; family line (esp. as family tree, genealogical tree)
nothrim; n.; class pl. of nost, kindred, family, house Finarfin 
nu; prep.; under
nud; v. (pl); to tie, bind
nui; n. (pl); plural of idea
nuin; prep.; under the
nuitha; v.; to stunt, to prevent from coming to completion, stop short, not allow to continue
nyrn; adj. (pl); plural of 1. twisted, knotted, crabbed, contorted ○ 2. hard
nâr; n.; rat
nêl; adj.; num. card. three
nín; adj.; poss. 1st my
níniel; adj.; tearful
nínim; n.; snowdrop (flower)
nínui; n.; and adj. 1. watery ○ 2. as a noun, the month of february
nírnaeth; n.; (tearful) lamentation
nîd; adj.; damp, wet, tearful
nîdh; n.; honeycomb
nîf; n.; front, face
nîn; adj.; wet, watery 
nîr; n.; tear, weeping
nîth; n.; f. sister
nórui; n.; and adj. 1. sunny, fiery ○ 2. as a noun, the month of june
nûr; adj.; sad 
nœdia; v. (pl); to count
nœgyth; n. (pl); plural of Dwarf, lit. "the Stunted Folk"
nŷw; n.; noose
o; prep.; about, concerning
ochui; adj.; num. ord. seventh
odhril; n.; f. parent
odhron; n.; m. parent
odo; adj. (pl); num. card. seven
odog; adj.; num. card. seven
odothui; adj.; num. ord. seventh
oear; n. (pl); sea
oegas; n. (pl); abst. of aeg, mountain peak
oeges; n. (pl); plural of abst. of aeg, mountain peak
oeglir; n. (pl); range of mountain peaks LotR, X/OE
oel; n. (pl); lake, pool, mere
oelin; n. (pl); plural of lake, pool, mere
oeruil; n. (pl); seaweed 
ofr; adj. (pl); abundant
ogol; adj.; wicked, evil
old; n. (pl); torrent, mountain-stream
oll; n.; torrent, mountain-stream
oltha; v.; to dream
oneth; n.; f. giver 
onna; v.; to beget Eboennin 
onnen; pp. of; onna-, born Eboennin 
onod; n.; Ent
onodrim; n.; class pl. of onod, the Ents, as a race
or; pref.; above, over
oraearon; n.; seventh day of the Númenórean week, Sea-day
oranor; n.; second day of the week, day of the Sun
orbelain; n.; sixth day of the week, day of the Powers or Valar
orch; n.; Goblin, Orc
orchal; adj.; 1. superior, lofty, eminent ○ 2. tall
orchall; adj. (pl); 1. superior, lofty, eminent ○ 2. tall
orchel; adj. (pl); 1. superior, lofty, eminent ○ 2. tall
orchoth; n.; class pl. of orch, the Orcs (as a race)
orgaladh; n.; fourth day of the Númenórean week, day of the White Tree
orgaladhad; n.; fourth day of the Elvish week, day of the Two Trees
orgilion; n.; first day of the week, day of the Stars
orithil; n.; third day of the week, day of the Moon
ormenel; n.; fifth day of the week, Heavens' day
orn; n.; (any large) tree
orod; n.; mountain
orodben; n.; mountaineer, one living in the mountains
orodrim; n.; class pl. of orod, range of mountains
oronte; inf. (pl); erio N. pa. t. erias N. (oronte N.) v. to rise
ortha; inf.; ortho N. pa. t. orthant N. v. to raise
orthad; ger.; of ortha-, rising
orthant; inf. (pl); ortho N. pa. t. orthant N. v. to raise
orthel; inf.; ortheli N. v. to roof, screen above
ortheli; inf. (pl); ortheli N. v. to roof, screen above
orthelian; n.; canopy
ortheri; inf. (pl); ortheri N. v. to master, conquer
ortho; inf. (pl); ortho N. pa. t. orthant N. v. to raise
orthor; inf.; ortheri N. v. to master, conquer
os; pref.; about, around
osgar; inf.; esgeri N. v. to cut round, to amputate
osp; n.; reek, smoke
ost; n.; 1. city, town with wall round ○ 2. citadel, fortress or stronghold, made or strenghtened by art
ostrad; n. (pl); street
othlon; n. (pl); paved way
othlond; n. (pl); paved way
othlonn; n.; paved way
othrad; n.; street
othrond; n. (pl); fortress or city in underground caves, underground stronghold
othronn; n.; fortress or city in underground caves, underground stronghold
othui; adj.; num. ord. seventh
ovor; adj.; abundant
ovr; adj. (pl); abundant
ovra; inf.; ovro N. v. to abound
ovras; n.; abst. of ovor, crowd, heap.
ovro; inf. (pl); ovro N. v. to abound
pada; v.; to walk (*ap-pata), Tharbad (*thara-pata) 
pae; adj.; num. card. ten
paenui; adj.; num. ord. tenth
paich; n.; juice, syrup
palan; adv.; afar, abroad, far and wide
palath; n.; surface
panas; n.; abst. of pân I, floor
pand; n.; courtyard
pann; adj.; wide
panna; v.; to fill
pant; adj.; full
paran; adj.; smooth, shaven (often applied to hills without trees) Baran 
parch; adj.; dry
parf; n.; book
parth; n.; field, enclosed grassland, sward
path; adj.; smooth
pathra; inf.; pathro N. v. to fill
pathred; n.; fullness
pathro; inf. (pl); pathro N. v. to fill
pathu; n.; level space, sward
pathw; n. (pl); level space, sward
paur; n.; fist (often used to mean "hand", its chief use was in reference of the tighly closed hand, as in using an implement or a craft-tool, rather than to the fist used in punching)
paw; n.; sickness
ped; pa. t.; *pent S. v. to speak, to say arphent 
pedo; v.; imp. of ped-, speak! say!
peg; n.; small spot, dot
peich; n. (pl); juice, syrup
pel; n.; fenced field (= Old English tún)
peleth; n.; fading, withering LotR/D
peli; n. (pl); plural of fenced field (= Old English tún)
pelia; inf.; pelio N. v. to spread
pelin; n.; fading, withering 
pelio; inf. (pl); pelio N. v. to spread
pelthaes; n.; pivot
pen; pron.; one, somebody, anybody
pend; n.; declivity, slope
pendrad; n. (pl); passage up or down slope, stairway
pendrath; n.; passage up or down slope, stairway
peng; n.; bow (for shooting)
penia; inf.; penio N. v. to fix, to set
penio; inf. (pl); penio N. v. to fix, to set
penn; n. (pl); declivity, slope
penna; v.; to slant down
pennas; n.; abst. of pent II, history, historical account
penneth; n.; coll. of pend, ridges, group of downs
penninar; n. (pl); last day of the year
penninor; n.; last day of the year
pent; n.; tale
per; pref.; half, divided in middle
peredhel; n.; half-elf
peredhil; n. (pl); plural of half-elf
perf; n. (pl); plural of book
periain; n. (pl); plural of Hobbit, Halfling
perian; n.; Hobbit, Halfling
periannath; n.; coll. of perian, the Hobbits, Halflings
perin; adj.; half, divided in middle
pesseg; n.; pillow
peth; n.; word
pethron; n.; narrator
phain; nasal mut. pl. of; pân II
pheriain; nasal mut. pl. of; perian
pheriannath; nasal mut. coll. of; periannath
pichen; adj. (pl); juicy
pigen; adj.; tiny
pihen; adj.; juicy
pind; n. (pl); plural of declivity, slope
pinn; n. (pl); plural of declivity, slope
pinnath; n.; coll. of pend, ridges, group of downs
plad; n.; palm, flat of the hand, hand held upwards or forwards, flat and tensed (with fingers and thumb closed or spread)
plada; v.; to feel with the hand, to pass the sensitive palm over a surface
post; n.; pause, halt, rest, cessation, respite
presta; inf.; presto N. v. to affect, trouble, disturb
prestannen; pp. of; presta-, 1. affected ○ 2. mutated (of a mutated vowel)
prestanneth; n.; affection of vowels, mutation
presto; inf. (pl); presto N. v. to affect, trouble, disturb
puia; inf.; puio N. v. to spit
puig; adj.; clean, tidy, neat
puio; inf. (pl); puio N. v. to spit
pâd; n.; way (*ap-pata), Tharbad (*thara-pata) 
pân; adj.; all, in totality în phain 
pêd; v.; pres. 3rd of ped-, (he) says bêd enni 
pîn; adj.; little Bîn 
pôd; n.; animal's foot
pŷd; n. (pl); plural of animal's foot
rach; mut. of; rhach 
rada; inf.; rado N. v. to make a way, find a way
rado; inf. (pl); rado N. v. to make a way, find a way
raeda; v.; to catch in a net
raef; n.; net
raeg; adj.; crooked, bent, wrong
raen; adj.; nettled, enlaced
raew; n.; fathom
rafn; n.; wing (horn), extended point at side, etc.
rain; n.; erratic wandering
rais; n. (pl); plural of horn (especially on living animal, but also applied to mountains)
ram; n.; wall
rammas; n.; abst. of ram, (great) wall
ranc; n.; arm
randír; n.; m. wanderer, pilgrim
rant; n.; 1. lode, vein ○ 2. course, riverbed
raph; n.; rope 
ras; n.; horn (especially on living animal, but also applied to mountains)
rasg; n.; horn (especially on living animal, but also applied to mountains)
rath; n.; 1. course, riverbed ○ 2. street (in a city)
raud; n.; metal
raudh; adj.; hollow, cavernous
raug; n.; a powerful, hostile and terrible creature, a demon
raun; adj.; errant
raw; n.; lion
redh; inf.; †redhi *S. (rhedhi N.) v. to sow
redhi; inf. (pl); †redhi *S. (rhedhi N.) v. to sow
rein; n.; slot, spoor, track, footprint
rem; adj.; frequent, numerous
remmin; plural; remmen
renc; n. (pl); plural of arm
rend; adj.; circular
renia; inf.; †renio *S. (rhenio N.) v. to stray
renio; inf. (pl); †renio *S. (rhenio N.) v. to stray
rest; n.; cut
revia; inf.; †revio *S. (rhevio N.) v. 1. to fly, sail ○ 2. to wander
revio; inf. (pl); †revio *S. (rhevio N.) v. 1. to fly, sail ○ 2. to wander
rhach; n.; curse 
rhafn; n. (pl); wing (horn), extended point at side, etc.
rham; n. (pl); wall
rhamb; n. (pl); wall
rhanc; n. (pl); arm
rhandir; n. (pl); m. wanderer, pilgrim
rhas; n. (pl); horn (especially on living animal, but also applied to mountains)
rhasg; n. (pl); horn (especially on living animal, but also applied to mountains)
rhass; n.; precipice
rhaud; n. (pl); metal
rhaudh; adj. (pl); hollow, cavernous
rhaug; n. (pl); a powerful, hostile and terrible creature, a demon
rhaun; adj. (pl); errant
rhavan; n.; wild man
rhaw; n.; flesh, body
rhedh; inf. (pl); †redhi *S. (rhedhi N.) v. to sow
rhedhi; inf. (pl); †redhi *S. (rhedhi N.) v. to sow
rhenc; n. (pl); plural of arm
rhengy; n. (pl); plural of arm
rhenia; inf. (pl); †renio *S. (rhenio N.) v. to stray
rhenio; inf. (pl); †renio *S. (rhenio N.) v. to stray
rhenn; adj. (pl); circular
rhess; n. (pl); ravine
rhest; n. (pl); cut
rhevain; n. (pl); plural of wild man
rhevia; inf. (pl); †revio *S. (rhevio N.) v. 1. to fly, sail ○ 2. to wander
rhevio; inf. (pl); †revio *S. (rhevio N.) v. 1. to fly, sail ○ 2. to wander
rhib; inf.; †rhibi *S. (thribi N.) v. to scratch
rhinc; n. (pl); twitch, jerk, trick, sudden move
rhind; n. (pl); circle
rhing; adj. (pl); cold
rhingorn; n. (pl); circle
rhinn; n. (pl); circle
rhis; n. (pl); ravine
rhista; inf. (pl); †risto *S. (rhisto N.) v. 1. to cut ○ 2. to rend, rip
rhisto; inf. (pl); †risto *S. (rhisto N.) v. 1. to cut ○ 2. to rend, rip
rhitha; inf. (pl); †ritho *S. (rhitho N.) v. to jerk, twitch, snatch
rhitho; inf. (pl); †ritho *S. (rhitho N.) v. to jerk, twitch, snatch
rhoeg; adj. (pl); crooked, bent, wrong
rhofal; n. (pl); pinion, great wing (of eagle) X/RH
rhofan; n. (pl); wilderness LotR/Map, 
rhofel; n. (pl); pinion, great wing (of eagle) X/RH
rhom; n. (pl); horn, trumpet
rhomru; n. (pl); sound of horns
rhond; n. (pl); 1. cave roof ○ 2. vaulted or arched roof, as seen from below (and usually not visible from outside), or a (large) hall of chamber so roofed
rhonn; n. (pl); 1. cave roof ○ 2. vaulted or arched roof, as seen from below (and usually not visible from outside), or a (large) hall of chamber so roofed
rhosc; adj. (pl); brown
rhosg; adj.; brown
rhoss; n.; whisper or rustling sound
rhovan; n.; wilderness LotR/Map, 
rhovanion; der. pl. of; rhovan LotR/Map
rhufen; n. (pl); Arch., east
rhui; n. (pl); hunt, hunting
rhuiw; n. (pl); hunt, hunting
rhuven; n.; Arch., east
rhî; n. (pl); crown, wreath, garland
rhîf; n. (pl); edge, hem, border
rhîs; n. (pl); f. queen
rhîw; n.; winter season
rhúnen; adj.; eastern Rhúnen 
rhû; n. (pl); Arch., loud-sound, trumpet-sound
rhûn; n.; east
rhŷn; n. (pl); "chaser", hound of chase
rib; v.; to flow like a (torrent ?)
rim; n.; cold pool or lake (in mountains)
rinc; n.; twitch, jerk, trick, sudden move
rind; n.; circle
ring; adj.; cold
ringorn; n.; circle
riss; n.; ravine
rista; inf.; †risto *S. (rhisto N.) v. 1. to cut ○ 2. to rend, rip
risto; inf. (pl); †risto *S. (rhisto N.) v. 1. to cut ○ 2. to rend, rip
ritha; inf.; †ritho *S. (rhitho N.) v. to jerk, twitch, snatch
ritho; inf. (pl); †ritho *S. (rhitho N.) v. to jerk, twitch, snatch
roch; n.; horse, swift horse for riding
rochben; n.; (horse) rider
rochbin; n. (pl); plural of (horse) rider
rochir; n.; horse-lord
rochirrim; n.; class pl. of rochir, horse-lords, the people of Rohan
rochon; n.; (horse) rider
rodon; n.; Vala, divinity
rodwen; n.; high virgin noble
rodyn; n. (pl); plural of Vala, divinity
rom; n.; horn, trumpet
romru; n.; sound of horns
rond; n.; 1. cave roof ○ 2. vaulted or arched roof, as seen from below (and usually not visible from outside), or a (large) hall of chamber so roofed
ross; adj.; red-haired, copper coloured (especially used of animals, as fox, red deer, etc.)
rosta; inf.; rosto N. v. to hollow out, excavate
rosto; inf. (pl); rosto N. v. to hollow out, excavate
rovail; n. (pl); pinion, great wing (of eagle) X/RH
roval; n.; pinion, great wing (of eagle) X/RH
rui; n.; hunt, hunting
ruin; adj.; (fiery) red
rusc; n.; fox
rust; n.; copper
rustui; adj.; of copper
râd; n.; path, track
rî; n.; crown, wreath, garland
rîdh; n.; sown field, acre
rîf; n.; bark 
rîn; n.; remembrance
rîs; n.; f. queen
rîw; n.; edge, hem, border
rû; n.; Arch., loud-sound, trumpet-sound
rûdh; adj.; bald
rûth; n.; anger
rœchbin; n. (pl); plural of (horse) rider
rŷn; n.; "chaser", hound of chase
sabar; n.; delved mine Anghabar 
sad; n.; limited area naturally or artificially defined, a place, spot
sador; n.; faithful one (name)
sadron; n.; faithful one
sael; adj.; wise 
saer; adj.; bitter
saew; n.; poison
said; adj.; private, separate, not common, excluded
sain; adj.; new
salab; n.; herb
salff; n. (pl); broth, liquid food, soup
salph; n.; broth, liquid food, soup
sam; n.; chamber 
samarad; n.; dual pl. of sammar, two neighbours
sammar; n.; neighbour
sammath; n.; coll. of sam, chambers
sant; n.; garden, field, yard (or other place in private ownership whether enclosed or not)
sarch; n.; grave
sarn; n.; 1. stone (as a material) ○ 2. small stone
